date,total,yeb,lc,jj,hj,累计占用,占有份额,占有比例,今年收益,获得收益
2019/12/24,11605.43,1294.36,4882.66,5417.47,10.94,,,,,
2019/12/25,11716,1294.49,4892.81,5517.76,10.94,,,,,
2019/12/26,12192.62,1294.62,4901.9,5985.16,10.94,,,,,
2019/12/27,11949.3,1295.54,4901.9,5740.92,10.94,,,,,
2019/12/28,11950.21,1296.45,4901.9,5740.92,10.94,,,,,
2019/12/29,11973.08,1297.35,4923.87,5740.92,10.94,,,,,
2019/12/30,12849.02,1298.25,4931.83,6608,10.94,,,,,
2019/12/31,13106.22,1299.15,4931.83,6864.3,10.94
2020/01/01,13124.46,1300.01,4949.21,6864.3,10.94
2020/01/02,14191.99,1300.55,4956.48,7924.02,10.94
2020/01/03,14225.37,1301.1,4956.48,7956.85,10.94
2020/01/04,14225.93,1301.66,4956.48,7956.85,10.94
2020/01/05,14250.75,1302.21,4980.75,7956.85,10.94
2020/01/06,14530.93,1302.76,4988.03,8229.2,10.94
2020/01/07,15164.79,1303.33,4999.35,8851.17,10.94
2020/01/08,14378.54,1304.41,5007.5,8055.69,10.94
2020/01/09,15199.89,1305.11,5015.51,8868.33,10.94
2020/01/10,15175.06,1305.78,5015.51,8842.83,10.94
2020/01/11,15175.7,1306.42,5015.51,8842.83,10.94
2020/01/12,15198,1307.06,5037.17,8842.83,10.94
2020/01/13,15985.66,1307.7,5044.27,9622.75,10.94
2020/01/14,15808.25,1308.32,5055.53,9433.46,10.94
2020/01/15,15569.68,1310.12,5063.49,9185.13,10.94
2020/01/16,15480,1312.01,5071.52,9085.53,10.94
2020/01/17,15485.74,1313.9,5071.52,9089.38,10.94
2020/01/18,15487.8,1315.96,5071.52,9089.38,10.94
2020/01/19,15511.6,1318.01,5093.27,9089.38,10.94
2020/01/20,16340.16,1320.06,5100.41,9908.75,10.94
2020/01/21,15451.4,1321.97,5111.67,9006.82,10.94
2020/01/22,15918.27,1323.89,5119.78,9463.66,10.94
2020/01/23,13758.13,1326.13,5119.78,7301.28,10.94
2020/01/24,13760.35,1328.35,5119.78,7301.28,10.94
2020/01/25,13762.57,1330.57,5119.78,7301.28,10.94
2020/01/26,13764.79,1332.79,5119.78,7301.28,10.94
2020/01/27,13767.01,1335.01,5119.78,7301.28,10.94
2020/01/28,13769.23,1337.23,5119.78,7301.28,10.94
2020/01/29,13771.45,1339.45,5119.78,7301.28,10.94
2020/01/30,13773.65,1341.65,5119.78,7301.28,10.94
2020/01/31,13775.85,1343.85,5119.78,7301.28,10.94
2020/02/01,13778.04,1346.04,5119.78,7301.28,10.94
2020/02/02,13856.61,1348.23,5196.16,7301.28,10.94
2020/02/03,8694.18,1350.42,5203.27,2129.55,10.94
2020/02/04,10160.55,1352.37,5223.7,3573.54,10.94
2020/02/05,11323.34,1354.79,5231.74,4725.87,10.94
2020/02/06,12876.06,1356.79,5239.66,6268.67,10.94
2020/02/07,13223.57,1358.76,5239.66,6614.21,10.94
2020/02/08,13225.53,1360.72,5239.66,6614.21,10.94
2020/02/09,13248.52,1362.31,5261.06,6614.21,10.94
2020/02/10,13820.42,1363.9,5268.1,7177.48,10.94
2020/02/11,14493.83,1365.49,5781.46,7335.94,10.94
2020/02/12,15455.98,1367.08,5789.33,8288.63,10.94
2020/02/13,15066.91,1368.86,5797.25,7889.86,10.94
2020/02/14,15324.89,1370.62,5797.25,8146.08,10.94
2020/02/15,15326.7,1372.43,5797.25,8146.08,10.94
2020/02/16,15349.93,1374.24,5818.67,8146.08,10.94
2020/02/17,17276.2,1376.05,5825.7,10063.51,10.94
2020/02/18,17598.56,1377.81,5836.83,10372.98,10.94
2020/02/19,17256.11,1379.53,5844.73,10020.91,10.94
2020/02/20,18751.98,1381.2,5852.62,11507.22,10.94
2020/02/21,19414.47,1382.88,5852.62,12168.03,10.94
2020/02/22,19416.12,1384.53,5852.62,12168.03,10.94
2020/02/23,19439.18,1386.18,5874.03,12168.03,10.94
2020/02/24,19880.13,1387.83,5881.04,12600.32,10.94
2020/02/25,20000.05,1389.48,5892.09,12707.54,10.94
2020/02/26,20001.49,1391.14,5892.09,12707.32,10.94
